ID,Region,Formato,Antiguedad_Anos,Area,Score_eNPS,Fecha_Respuesta,Respuesta_Abierta
1,Norte,Supercenter,3,Operaciones,2,2024-10-21,Salimos hasta las 11pm y al dia siguiente entramos a las 6am. No hay tiempo para descansar. Esto no puede seguir asi.
2,Norte,Supercenter,1,Caja,4,2024-10-21,Me gustaria que hubiera mas personal en caja los fines de semana. Los clientes se enojan con nosotros pero el problema es la falta de gente.
3,Norte,Supercenter,7,Operaciones,1,2024-10-21,Llevo 7 anos aqui y nunca habia visto tanta rotacion. En tres meses se fueron 12 compañeros de mi area. Nadie pregunta por que.
4,Norte,Supercenter,2,Logistica,3,2024-10-21,El sistema de escaneo falla constantemente y nos hacen responsables de los tiempos aunque la falla es tecnica. Eso es muy injusto.
5,Norte,Express,1,Caja,6,2024-10-21,El ambiente con mis compañeros es bueno. Lo que mejoraría es tener uniforme en mejor estado y lockers seguros.
6,Norte,Supercenter,4,Admin,7,2024-10-21,Me gusta trabajar aqui. Sugeriria mejorar el comedor porque la comida ya no es tan variada como antes.
7,Norte,Supercenter,5,Operaciones,1,2024-10-21,Mi supervisor grita frente a todos cuando algo sale mal. Eso desmotiva al equipo completo. He reportado la situacion pero no pasa nada.
8,Norte,Supercenter,2,Logistica,2,2024-10-21,Trabajamos horas extra sin que se reflejen en el sueldo. Cuando reclamas te dicen que lo compensan con tiempo libre pero nunca llega.
9,Norte,Bodega,8,Operaciones,5,2024-10-22,Los procesos de recepcion de mercancia son muy lentos por falta de equipo actualizado. Perdemos mucho tiempo esperando que liberen las rampas.
10,Norte,Supercenter,3,Caja,3,2024-10-22,Me siento agotada. No es solo el trabajo fisico, es que no vemos reconocimiento de ningun tipo. Ni un gracias del supervisor.
11,Norte,Supercenter,6,Operaciones,2,2024-10-22,Ya no tengo energia para nada cuando llego a casa. Mis hijos me preguntan si estoy enferma. Creo que en algun momento voy a tener que renunciar.
12,Norte,Express,2,Admin,8,2024-10-22,Buen lugar para aprender. El equipo de RRHH local es muy bueno y se preocupa por nosotros.
13,Norte,Supercenter,1,Logistica,4,2024-10-22,La induccion fue muy corta. Me tiraron a trabajar sin saber bien los procesos y eso genera errores que luego nos descuentan.
14,Norte,Supercenter,9,Operaciones,1,2024-10-22,Pedi vacaciones con dos meses de anticipacion y me las negaron tres veces. Con la antiguedad que tengo, eso no esta bien.
