Session_ID,Fecha,Dia_Semana,Hora,Dispositivo,Duracion_Min,Articulos_Agregados,Categoria,Valor_Carrito_MXN,Punto_Abandono,Precio_vs_Competencia_Pct,Slot_Entrega_Disponible,Es_Recurrente,Resultado
S001,2024-11-03,Domingo,17:15,Movil,4.2,8,Despensa,1250.00,Seleccion_Entrega,+6,No,Si,Abandono
S002,2024-11-03,Domingo,17:45,Movil,6.1,12,Despensa,1890.00,Seleccion_Entrega,+4,No,Si,Abandono
S003,2024-11-03,Domingo,18:10,Movil,3.5,5,Despensa,780.00,Seleccion_Entrega,+3,No,Si,Abandono
S004,2024-11-03,Domingo,18:40,Movil,8.3,15,Despensa,2340.00,Seleccion_Entrega,+7,No,Si,Abandono
S005,2024-11-03,Domingo,19:00,Desktop,12.0,18,Despensa,2890.00,Completado,-2,Si,Si,Compra
S006,2024-11-03,Domingo,19:20,Movil,2.1,6,Limpieza,920.00,Carga_Pagina,+4,No,No,Abandono
S007,2024-11-03,Domingo,19:50,Movil,5.8,10,Despensa,1560.00,Seleccion_Entrega,+8,No,Si,Abandono
S008,2024-11-03,Domingo,20:10,Movil,7.2,9,Despensa,1180.00,Resumen_Pago,+14,Si,No,Abandono
S009,2024-11-03,Domingo,20:30,Movil,4.5,7,Despensa,1050.00,Seleccion_Entrega,+5,No,Si,Abandono
S010,2024-11-03,Domingo,20:50,Movil,3.8,11,Despensa,1720.00,Seleccion_Entrega,+6,No,Si,Abandono
S011,2024-11-03,Domingo,21:15,Movil,1.8,3,Bebidas,450.00,Carga_Pagina,+2,No,No,Abandono
S012,2024-11-03,Domingo,21:40,Movil,5.2,8,Despensa,1340.00,Seleccion_Entrega,+7,No,Si,Abandono
S013,2024-11-03,Domingo,22:00,Movil,6.7,13,Despensa,1980.00,Resumen_Pago,+16,No,No,Abandono
S014,2024-11-03,Domingo,10:30,Movil,5.5,7,Despensa,1080.00,Completado,-1,Si,Si,Compra
S015,2024-11-03,Domingo,11:45,Desktop,9.2,14,Despensa,2150.00,Completado,+1,Si,Si,Compra
S016,2024-11-03,Domingo,13:00,Movil,4.8,10,Frutas_Verduras,1560.00,Seleccion_Entrega,+5,No,Si,Abandono
S017,2024-11-03,Domingo,14:30,Movil,6.0,9,Despensa,1320.00,Completado,-2,Si,Si,Compra
S018,2024-11-04,Lunes,08:30,Desktop,7.5,6,Despensa,890.00,Completado,0,Si,No,Compra
S019,2024-11-04,Lunes,12:15,Movil,4.2,8,Limpieza,1120.00,Completado,-1,Si,Si,Compra
S020,2024-11-04,Lunes,14:00,Movil,3.1,5,Despensa,650.00,Resumen_Pago,+11,Si,No,Abandono
S021,2024-11-04,Lunes,16:00,Movil,3.8,6,Frutas_Verduras,820.00,Completado,0,Si,Si,Compra
S022,2024-11-04,Lunes,18:30,Movil,5.6,9,Despensa,1350.00,Completado,+1,Si,Si,Compra
S023,2024-11-04,Lunes,20:00,Movil,2.5,4,Bebidas,520.00,Carrito,+3,Si,No,Abandono
S024,2024-11-05,Martes,09:00,Desktop,8.3,11,Despensa,1680.00,Completado,+2,Si,Si,Compra
S025,2024-11-05,Martes,11:30,Movil,3.8,6,Cuidado_Personal,870.00,Completado,-3,Si,No,Compra
S026,2024-11-05,Martes,15:00,Movil,4.5,7,Despensa,980.00,Resumen_Pago,+13,Si,No,Abandono
S027,2024-11-05,Martes,19:00,Movil,5.2,9,Despensa,1440.00,Seleccion_Entrega,+6,No,Si,Abandono
S028,2024-11-05,Martes,21:00,Movil,2.8,5,Limpieza,730.00,Completado,-2,Si,Si,Compra
S029,2024-11-06,Miercoles,08:00,Desktop,6.7,8,Despensa,1150.00,Completado,0,Si,Si,Compra
S030,2024-11-06,Miercoles,10:30,Movil,3.2,4,Frutas_Verduras,540.00,Carga_Pagina,+3,Si,No,Abandono
S031,2024-11-06,Miercoles,12:00,Movil,4.4,7,Despensa,1060.00,Seleccion_Entrega,+5,No,No,Abandono
S032,2024-11-06,Miercoles,13:00,Movil,5.8,10,Despensa,1520.00,Completado,+1,Si,Si,Compra
S033,2024-11-06,Miercoles,16:00,Movil,4.1,6,Bebidas,820.00,Resumen_Pago,+12,Si,No,Abandono
S034,2024-11-06,Miercoles,19:30,Movil,6.3,11,Despensa,1690.00,Completado,-1,Si,Si,Compra
S035,2024-11-06,Miercoles,21:30,Movil,2.4,3,Cuidado_Personal,380.00,Carrito,+2,Si,No,Abandono
S036,2024-11-07,Jueves,07:45,Desktop,7.8,9,Despensa,1280.00,Completado,+1,Si,Si,Compra
S037,2024-11-07,Jueves,12:00,Movil,4.6,7,Despensa,1060.00,Completado,0,Si,No,Compra
S038,2024-11-07,Jueves,14:30,Movil,3.3,5,Limpieza,690.00,Resumen_Pago,+15,Si,No,Abandono
S039,2024-11-07,Jueves,17:00,Movil,5.1,8,Despensa,1190.00,Seleccion_Entrega,+6,No,Si,Abandono
S040,2024-11-07,Jueves,20:00,Movil,2.9,4,Bebidas,480.00,Completado,-2,Si,Si,Compra
S041,2024-11-08,Viernes,09:30,Desktop,8.1,12,Despensa,1820.00,Completado,+2,Si,Si,Compra
S042,2024-11-08,Viernes,11:00,Movil,4.0,6,Cuidado_Personal,850.00,Completado,-1,Si,No,Compra
S043,2024-11-08,Viernes,12:30,Movil,3.5,5,Cuidado_Personal,690.00,Completado,-2,Si,Si,Compra
S044,2024-11-08,Viernes,14:00,Movil,3.6,5,Despensa,720.00,Carga_Pagina,+4,Si,No,Abandono
S045,2024-11-08,Viernes,17:30,Movil,5.4,9,Despensa,1380.00,Seleccion_Entrega,+7,No,Si,Abandono
S046,2024-11-08,Viernes,20:30,Movil,6.8,10,Despensa,1540.00,Completado,0,Si,Si,Compra
S047,2024-11-09,Sabado,09:00,Desktop,9.5,14,Despensa,2280.00,Completado,+1,Si,Si,Compra
S048,2024-11-09,Sabado,11:30,Movil,5.2,8,Frutas_Verduras,1100.00,Completado,-1,Si,Si,Compra
S049,2024-11-09,Sabado,14:00,Movil,3.9,6,Despensa,940.00,Resumen_Pago,+11,Si,No,Abandono
S050,2024-11-09,Sabado,16:30,Movil,6.1,10,Limpieza,1450.00,Completado,+2,Si,Si,Compra
S051,2024-11-09,Sabado,19:00,Movil,4.3,7,Despensa,1070.00,Seleccion_Entrega,+6,No,Si,Abandono
S052,2024-11-09,Sabado,21:00,Movil,2.6,4,Bebidas,490.00,Carrito,+2,Si,No,Abandono
S053,2024-11-10,Domingo,17:00,Movil,4.8,9,Despensa,1380.00,Seleccion_Entrega,+5,No,Si,Abandono
S054,2024-11-10,Domingo,17:30,Movil,5.9,11,Despensa,1750.00,Seleccion_Entrega,+6,No,Si,Abandono
S055,2024-11-10,Domingo,18:00,Movil,3.2,6,Despensa,890.00,Seleccion_Entrega,+4,No,Si,Abandono
S056,2024-11-10,Domingo,18:30,Movil,7.6,14,Despensa,2180.00,Seleccion_Entrega,+8,No,Si,Abandono
S057,2024-11-10,Domingo,19:00,Movil,2.3,4,Despensa,580.00,Carga_Pagina,+3,No,No,Abandono
S058,2024-11-10,Domingo,19:30,Desktop,10.5,16,Despensa,2650.00,Completado,+1,Si,Si,Compra
S059,2024-11-10,Domingo,20:00,Movil,5.1,8,Despensa,1220.00,Seleccion_Entrega,+7,No,Si,Abandono
S060,2024-11-10,Domingo,20:20,Movil,6.4,10,Despensa,1590.00,Resumen_Pago,+15,No,No,Abandono
S061,2024-11-10,Domingo,20:45,Movil,4.0,7,Limpieza,1020.00,Seleccion_Entrega,+4,No,Si,Abandono
S062,2024-11-10,Domingo,21:10,Movil,3.6,5,Despensa,750.00,Seleccion_Entrega,+6,No,Si,Abandono
S063,2024-11-10,Domingo,21:40,Movil,5.7,9,Despensa,1460.00,Seleccion_Entrega,+9,No,Si,Abandono
S064,2024-11-10,Domingo,22:00,Movil,2.8,4,Cuidado_Personal,560.00,Carga_Pagina,+3,No,No,Abandono
S065,2024-11-10,Domingo,09:30,Movil,5.3,8,Despensa,1190.00,Completado,-1,Si,Si,Compra
S066,2024-11-10,Domingo,11:00,Desktop,8.7,12,Despensa,1860.00,Completado,+1,Si,Si,Compra
S067,2024-11-10,Domingo,13:30,Movil,4.1,6,Frutas_Verduras,870.00,Completado,-2,Si,Si,Compra
S068,2024-11-10,Domingo,15:00,Movil,6.2,10,Despensa,1530.00,Seleccion_Entrega,+5,No,Si,Abandono
S069,2024-11-10,Domingo,15:45,Movil,3.9,7,Despensa,1050.00,Completado,0,Si,Si,Compra
S070,2024-11-11,Lunes,08:00,Desktop,7.2,7,Despensa,980.00,Completado,-1,Si,Si,Compra
S071,2024-11-11,Lunes,11:30,Movil,4.5,8,Despensa,1210.00,Completado,+1,Si,No,Compra
S072,2024-11-11,Lunes,14:00,Movil,3.3,5,Cuidado_Personal,670.00,Resumen_Pago,+12,Si,No,Abandono
S073,2024-11-11,Lunes,17:30,Movil,5.8,9,Despensa,1350.00,Completado,+2,Si,Si,Compra
S074,2024-11-11,Lunes,20:00,Movil,2.7,4,Bebidas,510.00,Carrito,+2,Si,No,Abandono
